timestamp;x;y;z
1432030088075207;-37.125;-18.375;-10.375
1432030088091161;-20;-13.0625;-7.125
1432030088114207;8;7.4375;-3.625
1432030088135250;26.3125;2.8125;12
1432030088150259;26.9375;-1.5;18.125
1432030088174326;20.1875;-1.5625;18
1432030088195340;10.125;1;13.3125
1432030088210382;-25.375;7.875;10.3125
1432030088233426;-58.0625;11.6875;15.25
1432030088255410;-62.0625;15.625;26.4375
1432030088270423;-53.4375;16.8125;39.9375
1432030088293410;-31.9375;14.6875;49.5625
1432030088316428;-27.125;18.5;48.5
1432030088330463;-42.6875;16.5;48.125
1432030088361486;-59.9375;10.9375;50.5
1432030088376470;-55.9375;8.9375;53.9375
1432030088390508;-42.125;8.6875;58.4375
1432030088413589;-21.75;4.1875;63.0625
1432030088436604;-18.1875;2.0625;65.75
1432030088450698;-20.5625;-3.375;68.1875
1432030088473708;-20.875;-4.5;67.4375
1432030088496752;-24.0625;-2.1875;70.25
1432030088517795;-28.125;-4.0625;72.875
1432030088532808;-24.1875;-6.625;81.25
1432030088555933;-30.8125;-5.6875;75.8125
1432030088577921;-22.6875;-7.1875;83.8125
1432030088592931;-23.125;-8.8125;86.5625
1432030088615974;-39.1875;-12.5;92
1432030088637963;-51.75;-10.75;89.875
1432030088652974;-50.5;-2.5625;91.875
1432030088675990;-46.0625;9.6875;84.3125
1432030088697125;-37.4375;29.3125;73.5625
1432030088713078;-26.375;43.4375;76.8125
1432030088736112;-39.125;52.875;74.9375
1432030088757168;-53.9375;51;73
1432030088773125;-59.9375;51.25;69.5625
1432030088796166;-57.5;50.8125;64.1875
1432030088817210;-45.75;52.8125;52.5
1432030088833162;-27.6875;59.4375;44.125
1432030088856179;-38.625;61.8125;34.8125
1432030088877200;-46.9375;61.6875;24.1875
1432030088893205;-40.375;59.6875;19.4375
1432030088916221;-37.375;57.5;10
